2025-07-27 09:55:36,753 - INFO - Loaded 103 unique wallet addresses
2025-07-27 09:55:36,754 - INFO - Starting risk analysis process...
2025-07-27 09:55:38,226 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,227 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,228 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,229 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,230 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,230 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,231 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,232 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,233 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,234 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,234 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,235 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,236 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,236 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,237 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,237 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,238 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,240 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,241 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,242 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,243 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,243 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,244 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,245 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,246 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,246 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,247 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,248 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,249 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,249 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,250 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,250 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,251 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,251 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,252 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,252 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,252 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,253 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,253 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,254 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,254 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,255 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,256 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,258 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,258 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,259 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,259 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,259 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,260 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,260 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,260 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,261 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,261 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,261 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,262 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,262 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,263 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,263 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,263 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,264 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,264 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,265 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,265 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,266 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,266 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,266 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,267 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,267 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,267 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,268 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,268 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,268 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,269 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,269 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,269 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,270 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,270 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,270 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,271 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,271 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,271 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:55:38,272 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
